"Variable name","Variable label"
"qa_01","Access to the Internet at home on a computer\laptop"
"qa_02","Access to the Internet at work on a computer\laptop"
"qa_03","Access to the Internet at home on a games console"
"qa_04","Internet at home through your TV screen via a computer"
"qa_05","Internet at home directly through your TV set i.e. Smart\Connected TV)"
"qa_06","Access to the Internet via a mobile phone"
"qa_07","Access to the internet on a tablet computer e.g. iPad"
"qa_08","Access to the Internet on a Palmtop or Personal Digital Assistant (PDA)\Pocket PC"
"qa_09","Access to the Internet at school\college \university on a computer"
"qa_10","Internet access from a library on a computer"
"qa_11","Internet access in a cafe\bar on a computer"
"qa_12","Internet access at a friend's or relative's house on a computer"
"qa_13","Other Internet access"
"qa_14","An e-mail address at home"
"qa_15","An e-mail address at work"
"qa_16","Other e-mail address"
"qa_17","None"
"qa_18","Don't know"
"@all","all"
"qb_01","Digital Satellite TV through Sky for a monthly subscription (i.e. satellite dish)"
"qb_02","Free-Sat TV through any satellite dish WITHOUT a monthly subscription"
"qb_03","Cable through Virgin Media (previously ntl\Telewest)"
"qb_04","Freeview TV through TV aerial and set-top box without a monthly subscription"
"qb_05","Top-Up TV through TV aerial and set-top box for a monthly subscription"
"qb_06","TV which has Freeview channels built in (IDTV using TV aerial, without a separate set-top box)"
"qb_07","TV from Tiscali\Homechoice"
"qb_08","TV from BT Vision"
"qb_09","TV from Talk Talk"
"qb_10","TV through a normal aerial but receiving the main 4 or 5 channels only"
"qb_11","Other"
"qb_12","NO TV"
"qc_01","A Smartphone e.g. iPhone, Blackberry, HTC, etc"
"qc_02","A mobile phone (not a Smartphone) with internet access"
"qc_03","A mobile phone without internet access"
"qc_04","A computer - either laptop, desktop, or netbook"
"qc_05","A tablet PC e.g. iPad, Samsung Galaxy"
"qc_06","An e-book reader e.g. Kindle, Kobo"
"qc_07","A games console e.g. Xbox 360, PS3, Nintendo Wii"
"qc_08","A mobile gaming device e.g. Sony PSP\Vita, Nintendo DS"
"qc_09","Ipod (Touch)/MP3 player"
"qc_10","Mobile phone - no detail of internet access"
"qc_11","Other mobile device"
"qc_12","None of these"
"qc_13","Don't know"
"qd","Q.D Frequency of internet use"
"q1a01","Yes - music tracks or albums (excluding online radio stations)"
"q1a02","Yes - music videos"
"q1a03","Yes - video games (excluding patches and upgrades)"
"q1a04","Yes - computer software (excluding mobile phone apps, and patches\upgrades to software already owned)"
"q1a05","Yes - films (full length)"
"q1a06","Yes - TV programmes"
"q1a07","Yes - Short video clips"
"q1a08","Yes - e-books"
"q1a09","Yes - other type of file"
"q1a10","No"
"q1a11","Don't know"
"q1b01","Yes - music tracks or albums (excluding online radio stations)"
"q1b02","Yes - music videos"
"q1b03","Yes - video games (excluding patches and upgrades)"
"q1b04","Yes - computer software (excluding mobile phone apps, and patches\upgrades to software already owned)"
